,popularity,name,url
0,1,La Mansion Marriott Reforma,https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d2394477-Reviews-La_Mansion_Marriott_Reforma_Steakhouse-Mexico_City_Central_Mexico_and_Gulf_Coast.html
1,2,Balta,https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d19338104-Reviews-Balta-Mexico_City_Central_Mexico_and_Gulf_Coast.html
2,3,KYU MÉXICO,https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d20158337-Reviews-KYU_MEXICO-Mexico_City_Central_Mexico_and_Gulf_Coast.html
3,4,Parole Polanco,https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d23312709-Reviews-Parole_Polanco-Mexico_City_Central_Mexico_and_Gulf_Coast.html
4,5,Animal,https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d22880159-Reviews-Animal_Masaryk-Mexico_City_Central_Mexico_and_Gulf_Coast.html
5,6,Mochomos Palmas,https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d12830857-Reviews-Mochomos_Palmas-Mexico_City_Central_Mexico_and_Gulf_Coast.html
6,7,Ryoshi Masaryk,https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d19289467-Reviews-Ryoshi_Masaryk-Mexico_City_Central_Mexico_and_Gulf_Coast.html
7,8,Porfirio's Coyoacán,https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d25266447-Reviews-Porfirio_s_Coyoacan-Mexico_City_Central_Mexico_and_Gulf_Coast.html
8,9,Sonora Prime Santa Fe,https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d16645663-Reviews-Sonora_Prime_Santa_Fe-Mexico_City_Central_Mexico_and_Gulf_Coast.html
9,10,Zefiro,https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d2236379-Reviews-Zefiro-Mexico_City_Central_Mexico_and_Gulf_Coast.html
10,11,Auguri Kosher Trattoria,https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d16948579-Reviews-Auguri_Kosher_Trattoria-Mexico_City_Central_Mexico_and_Gulf_Coast.html
11,12,Condimento Restaurant,https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d1926008-Reviews-Condimento_Restaurant-Mexico_City_Central_Mexico_and_Gulf_Coast.html
12,13,Ilios Greek Estiatorio Polanco,https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d23653334-Reviews-Ilios_Greek_Estiatorio_Polanco-Mexico_City_Central_Mexico_and_Gulf_Coast.html
13,14,Cambalache Plaza Oasis,https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d10330947-Reviews-Cambalache_Plaza_Oasis-Mexico_City_Central_Mexico_and_Gulf_Coast.html
14,15,La Rural Argentina,https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d2317880-Reviews-La_Rural_Argentina-Mexico_City_Central_Mexico_and_Gulf_Coast.html
