,Popularity,Name,Calfication,Num_reviwes,Webside,Latitude,Longitude,Type_food,Comida,Servicio,Calidad/precio,Ambiente
0,1,La Mansion Marriott Reforma,5.0,1663.0,http://www.facebook.com/mansionmarriottreforma,19.428345,-99.16426,"Mexicana, Parrillada",4.5,4.5,4.5,4.0
1,2,Balta,5.0,1363.0,http://www.sofitel-mexico-city.com/restaurants/balta-restaurant/,19.428432,-99.16592,"Mexicana, Mediterránea, Mariscos, Parrilla",5.0,5.0,5.0,
2,3,KYU MÉXICO,5.0,809.0,http://www.kyumexico.com,19.431955,-99.20089,"Tailandesa, Asiática, Coreana, Fusión",5.0,5.0,4.5,
3,4,Parole Polanco,5.0,3484.0,https://parole.mx/en/italian-restaurant-in-cdmx,19.430412,-99.1994,"Italiana, Contemporánea, Toscana, Del centro italiano",5.0,5.0,4.5,
4,5,Animal,5.0,1591.0,http://costeno.com/animal,19.432081,-99.19929,"Mexicana, Pub, Fusión, Gastropub, Española",5.0,5.0,4.5,
5,6,Mochomos Palmas,5.0,1134.0,http://mochomos.mx,19.429089,-99.216774,Mexicana,4.5,4.5,4.5,
6,7,Ryoshi Masaryk,5.0,1046.0,http://www.ryoshi.mx/,19.431684,-99.18634,"Japonesa, Sushi, Asiática, Saludable, Internacional, Fusión japonesa",5.0,5.0,4.5,
7,8,Porfirio's Coyoacán,5.0,602.0,https://porfirios.com.mx/,19.345526,-99.18072,Mexicana,5.0,5.0,5.0,
8,9,Sonora Prime Santa Fe,5.0,306.0,http://sonoraprime.com.mx/,19.361963,-99.26657,Bar de vinos,5.0,5.0,4.5,
9,10,Zefiro,5.0,987.0,http://www.elclaustro.edu.mx/zefiro/,19.427332,-99.1382,"Mexicana, Contemporánea",5.0,5.0,4.5,4.5
10,11,Auguri Kosher Trattoria,5.0,345.0,http://www.facebook.com/augurikoshertrattoria,19.429688,-99.21117,"Italiana, Mediterránea, Contemporánea, Del norte italiano, Del sur italiano",5.0,5.0,5.0,
11,12,Condimento Restaurant,5.0,989.0,http://www.marriott.com/hotels/hotel-information/restaurant/MEXMC&scid=d42e66eb-35c2-4d9c-9219-ae39f3a2ca9f,19.427828,-99.164024,Internacional,4.5,4.5,4.5,4.0
12,13,Ilios Greek Estiatorio Polanco,5.0,829.0,http://iliosrestaurante.com.mx/cdmx,19.431807,-99.19404,"Bar, Mediterránea, Griega, Pub",5.0,5.0,4.5,
13,14,Cambalache Plaza Oasis,5.0,1274.0,http://www.cambalacherestaurantes.com/#coyoacan,19.344442,-99.17947,"Argentina, Bar, Internacional, Parrilla, Contemporánea, Pub",4.5,4.5,4.5,
14,15,La Rural Argentina,4.5,329.0,http://www.laruralrestaurantes.com/,19.389774,-99.17375,"Argentina, Bar, Internacional, Parrilla, Contemporánea, Pub",4.5,5.0,4.5,4.5
15,16,Quattro Gastronomía Italiana,5.0,880.0,http://www.quattro.com.mx/,19.367119,-99.26036,"Italiana, Mediterránea, Europea, Saludable, Toscana, Romana, De Lacio, Siciliana, Del centro italiano, Del sur italiano",4.5,4.5,4.0,4.5
16,17,Sonora Grill Coapa,5.0,887.0,http://sonoragrill.com.mx,19.294357,-99.12684,"Mexicana, Bar, Saludable",4.5,4.5,4.5,
17,18,Cityzen Rooftop Kitchen,5.0,2132.0,http://www.sofitel-mexico-city.com/restaurants/cityzen-rooftop/,19.428486,-99.166,"Mexicana, Fusión",4.5,5.0,4.5,
18,19,La Distral,5.0,498.0,http://www.fiestamericana.com/hoteles-y-resorts/fiesta-americana-reforma-ciudad-de-mexico/hotel-dining/la-distral,19.433002,-99.15458,"Mexicana, Latina, Internacional",4.5,5.0,4.5,
19,20,Corazón de Maguey,4.5,1351.0,http://www.corazondemaguey.com,19.349573,-99.163574,Mexicana,4.5,4.5,4.0,4.0
20,21,Restaurante Condimento Emporio Reforma,5.0,677.0,http://hotelesemporio.com/hoteles/emporio-ciudad-de-mexico/,19.431667,-99.157,Mexicana,5.0,5.0,5.0,
21,22,Taboo Polanco,5.0,1397.0,http://taboorestaurant.com.mx/en/reservations/cdmx-restaurants,19.431421,-99.193085,"Mariscos, Mediterránea, Internacional, Contemporánea",5.0,5.0,4.5,
22,23,Los Danzantes Coyoacán,4.5,1581.0,http://www.losdanzantescoyoacan.com,19.348955,-99.163605,"Mexicana, Contemporánea",4.5,4.5,4.0,4.0
23,24,Asaderos Grill Plaza Carso,5.0,120.0,http://www.asaderosgrill.com.mx,19.441648,-99.20391,"Mexicana, Internacional, Parrilla",5.0,5.0,5.0,
